id,Topic,Applies to,Audience,Measurement site,Setting,Rule,From (°C),To (°C),From (°F),To (°F),Offset (°C),Duration (days),Label,What it means / what to do,Source,Source URL,Verbatim fragment,Note,Checked on
fever-statpearls-high,fever_band,anyone,any,core,home,range,39.1,41,102.4,105.8,,,High-grade 39.1–41.0 °C (102.4–105.8 °F),High-grade band in the clinical literature.,"StatPearls — Physiology, Fever",https://www.ncbi.nlm.nih.gov/books/NBK562334/,High-grade: 39.1 to 41 C (102.4 to 105.8 F),,2026-08-27
fever-statpearls-hyperthermia,danger_threshold,anyone,any,core,home,gte,41,,105.8,,,,Above 41.0 °C (105.8 °F),StatPearls: hyperthermia/hyperpyrexia band — uncontrolled rise above the set-point; emergency.,"StatPearls — Physiology, Fever",https://www.ncbi.nlm.nih.gov/books/NBK562334/,Hyperthermia: Greater than 41 C (105.8 F),Cleveland Clinic defines hyperpyrexia as above 106.7 °F (41.5 °C); the two cut-offs differ and both exist in the literature.,2026-08-27
danger-merck-red-flags,danger_threshold,anyone,any,core,home,gte,40,,104,,,,Above 40.0 °C (104.0 °F) — or below 35.0 °C (95.0 °F),Merck lists this as a red flag requiring immediate assessment.,"Merck Manual, Professional Version — Fever",https://www.merckmanuals.com/professional/infectious-diseases/biology-of-infectious-disease/fever,Temperature > 40° C or < 35° C,,2026-08-27
seekcare-infant-under-3-months,seek_care,infants under 3 months,infant,core,home,gte,38,,100.4,,,,38.0 °C (100.4 °F) or higher → seek care immediately,Do not wait for the fever to come down on your own; contact emergency services / go to A&E or the ER.,NHS — Fever in children,https://www.nhs.uk/symptoms/fever-in-children/,is under 3 months old and has a temperature of 38C or higher,"AAP, Mayo Clinic and CDC publish the same 38.0 °C / 100.4 °F line for this age group; only the contact route differs (111 vs paediatrician vs ER).",2026-08-27
seekcare-infant-3-to-6-months,seek_care,infants 3 to 6 months,infant,core,home,gte,39,,102.2,,,,39.0 °C (102.2 °F) or higher → contact a clinician the same day,NHS uses the 39 °C line specifically for the 3–6 month age band.,NHS — Fever in children,https://www.nhs.uk/symptoms/fever-in-children/,is 3 to 6 months old and has a temperature of 39C or higher,"There is no single published 'children over 39 °C' rule: NHS ties 39 °C to 3–6 months, AAP uses 40 °C (104 °F), Mayo uses 38.9 °C (102 °F) rectal for 3–6 months.",2026-08-27
seekcare-adult-39-4,seek_care,adults,adult,oral,home,gte,39.4,,103,,,,39.4 °C (103 °F) or higher → call your health care provider,Mayo's adult number. NHS gives no adult temperature cut-off at all.,Mayo Clinic — Fever (symptoms and when to see a doctor),https://www.mayoclinic.org/diseases-conditions/fever/symptoms-causes/syc-20352759,Call your health care provider if your temperature is 103 F (39.4 C) or higher.,US-style triage line; the page could not be re-fetched by script (403) — see provenance.,2026-08-27
seekcare-adult-duration,seek_care,adults,adult,any,home,duration,,,,,,3,Fever lasting more than 3 days → see a clinician,Duration triggers care independently of the number on the thermometer.,Mayo Clinic — First aid: fever,https://www.mayoclinic.org/first-aid/first-aid-fever/basics/art-20056685,stays at 103 F (39.4 C) or higher or lasts longer than three days,Other published durations: NHS (children) 5 days; Merck 24–48 h for a phone call and 3–4 days for a visit. No single duration is universally agreed.,2026-08-27
seekcare-child-duration,seek_care,children,child,any,home,duration,,,,,,5,Fever lasting 5 days or more → see a clinician,NHS threshold for children; also contact NHS 111 if the child is getting worse or you are worried.,NHS — Fever in children,https://www.nhs.uk/symptoms/fever-in-children/,lasted for 5 days or more,AAP uses more than 24 h under 2 years and more than 72 h at 2 years and over; Mayo uses 3 days.,2026-08-27
hypothermia-under-35,hypothermia,anyone,any,core,home,lte,,35,,95,,,"Below 35.0 °C (95.0 °F) → hypothermia, medical emergency",Call emergency services. Handle the person gently and keep them warm while help is on the way.,StatPearls — Hypothermia; NHS — Hypothermia; CDC — Winter weather,https://www.ncbi.nlm.nih.gov/books/NBK545239/,Hypothermia is defined as a decrease in body temperature below 35 °C.,NHS: 'a dangerous drop in body temperature below 35C … It's a medical emergency'. CDC and Mayo use the same 95 °F / 35 °C line.,2026-08-27
hypothermia-mild,hypothermia_stage,anyone,any,core,hospital,range,32,35,90,95,,,Mild hypothermia 32.0–35.0 °C (90–95 °F),"Shivering, cognitive impairment; passive external rewarming is often sufficient in alert, stable patients.",StatPearls — Hypothermia,https://www.ncbi.nlm.nih.gov/books/NBK545239/,Patients with mild hypothermia have a core body temperature ranging from 32 to 35 °C (90 to 95 °F).,Clinical staging for hospital care — not a home-triage tool.,2026-08-27
hypothermia-moderate,hypothermia_stage,anyone,any,core,hospital,range,28,32,82,90,,,Moderate hypothermia 28.0–32.0 °C (82–90 °F),Cognitive decline and lethargy; active rewarming under medical care.,StatPearls — Hypothermia,https://www.ncbi.nlm.nih.gov/books/NBK545239/,Patients with moderate hypothermia have a core body temperature of 28 to 32 °C (82-90 °F).,,2026-08-27
hypothermia-severe,hypothermia_stage,anyone,any,core,hospital,lte,,28,,82,,,Severe hypothermia below 28.0 °C (82.0 °F),Risk of ventricular arrhythmias; hospital-level rewarming (up to ECMO / bypass).,StatPearls — Hypothermia,https://www.ncbi.nlm.nih.gov/books/NBK545239/,Individuals with severe hypothermia have a core body temperature of less than 28 °C (82 °F).,,2026-08-27
below-normal-35-to-36,watch_band,adults at home,any,axillary or oral,home,range,35,36.5,95,97.7,,,"35.0–36.5 °C (95.0–97.7 °F) → below the usual range, not hypothermia","Recheck after 10 minutes, keep warm, and seek care if there are symptoms or the reading keeps falling.",Derived: StatPearls hypothermia definition + measured axillary means,https://www.ncbi.nlm.nih.gov/articles/PMC6456186/,The average axillary temperature reading is 35.97 degrees C,"No public-health source defines hypothermia at 36 °C, and the measured axillary mean in healthy adults is 35.97 °C — a 35.9 °C armpit reading is not a diagnosis.",2026-08-27
perioperative-low-36,clinical_definition,surgical patients,adult,core,hospital,lte,,36,,96.8,,,Perioperative: core temperature below 36.0 °C is 'low' and needs active management,"This is a hospital quality threshold, not a layperson's hypothermia threshold.",NICE CG65 — Hypothermia: prevention and management in adults having surgery,https://www.ncbi.nlm.nih.gov/books/NBK554181/,core temperature below 36.0°C,Included because this is where the widely-copied '36 °C = hypothermia' claim seems to come from.,2026-08-27
paediatric-low-36,clinical_definition,hospitalised children,child,core,hospital,lte,,36,,96.8,,,Paediatric inpatient: below 36.0 °C is treated as low temperature; neonates below 36.5 °C,Hospital escalation thresholds for children under inpatient care.,Royal Children's Hospital Melbourne — Temperature management,https://www.rch.org.au/rchcpg/hospital_clinical_guideline_index/Temperature_management/,paediatric low temperature (or hypothermia) <36 °C … neonates <36.5 °C,"Some NHS 111 regional triage pages likewise list 'temperature below 36 °C' as a sign to assess — the number is a care trigger in those settings, still not the definition.",2026-08-27
neonate-cold-stress,danger_threshold,newborns,neonate,skin,home,lte,,36.5,,97.7,,,Newborn below 36.5 °C (97.7 °F) → warm and get help,Neonates are managed far more strictly than older children for cold readings.,Royal Children's Hospital Melbourne — Temperature management,https://www.rch.org.au/rchcpg/hospital_clinical_guideline_index/Temperature_management/,neonates <36.5 °C,This is the one place where a threshold above 35 °C is genuinely the right safety line.,2026-08-27
sign-rash-non-blanching,emergency_sign,children and adults,child,any,home,sign,,,,,,,Rash that does not fade under a glass,"Emergency — call 999 / go to A&E, do not wait for the temperature to change.",NHS — Fever in children,https://www.nhs.uk/symptoms/fever-in-children/,rash that does not fade when you press a glass against it,Emergency signs are listed without a temperature because no temperature is required to act.,2026-08-27
sign-stiff-neck,emergency_sign,children and adults,any,any,home,sign,,,,,,,"Stiff neck, dislike of bright light, severe headache",Emergency — these are the meningeal signs both NHS and Mayo list alongside fever.,NHS — Fever in children; Mayo Clinic — Fever symptoms,https://www.nhs.uk/symptoms/fever-in-children/,stiff neck and pain when you bend your head forward,Quote is from Mayo's adult list; NHS lists 'stiff neck' and 'bothered by light' for children.,2026-08-27
sign-first-seizure,emergency_sign,children,child,any,home,sign,,,,,,,"A fit (febrile seizure) for the first time, or a seizure lasting more than 5 minutes",Emergency. NHS lists a first fit as a 999/A&E sign; Mayo says call 911 if a seizure lasts more than 5 minutes or recovery is not quick.,NHS — Fever in children; Mayo Clinic — First aid: fever,https://www.nhs.uk/symptoms/fever-in-children/,having a fit (febrile seizure) for the first time,,2026-08-27
sign-colour-and-drowsiness,emergency_sign,children,child,any,home,sign,,,,,,,"Blue / grey / pale / blotchy skin, cold hands and feet, drowsy and hard to wake",Emergency — circulatory and consciousness signs outrank the thermometer reading.,NHS — Fever in children,https://www.nhs.uk/symptoms/fever-in-children/,skin colour changes (blue/grey/pale/blotchy),NHS also lists unusually cold hands and feet and being extremely agitated or confused in the same block.,2026-08-27
sign-breathing,emergency_sign,children and adults,any,any,home,sign,,,,,,,"Difficulty breathing, breathlessness, breathing very fast, or chest pain",Emergency.,NHS — Fever in children; Mayo Clinic — Fever symptoms,https://www.nhs.uk/symptoms/fever-in-children/,difficulty breathing / breathlessness / breathing very fast,,2026-08-27
thermometer-reset-below-35,instrumentation,digital thermometers,any,device,device,lte,,35,,95,,,Digital thermometer should reset below 35 °C (95 °F) before each reading,Practical check that the device can actually read the range that matters.,"StatPearls — Physiology, Fever",https://www.ncbi.nlm.nih.gov/books/NBK562334/,"Before each new measurement with a digital thermometer, the device should be reset to below 35 C (95 F).",,2026-08-27
